User ID,Gender,Age,Activity Level,Location,App Sessions,Distance Travelled (km),Calories Burned,Cluster
109,Female,19,Sedentary,Rural,89,67,354,0
110,Male,38,Sedentary,Rural,70,40,217,0
111,Male,29,Moderate,Suburban,108,88,515,1
112,Male,59,Sedentary,Rural,85,66,184,0
113,Male,44,Sedentary,Suburban,94,74,365,0
114,Female,27,Active,Urban,163,93,430,1
115,Female,25,Active,Suburban,180,94,698,2
116,Male,38,Active,Rural,157,90,482,1
117,Female,39,Active,Suburban,166,114,336,1
118,Female,30,Sedentary,Rural,58,39,277,0
119,Female,57,Active,Suburban,194,97,850,2
120,Male,29,Moderate,Suburban,131,114,451,1
121,Female,34,Moderate,Urban,145,82,312,1
122,Female,26,Sedentary,Suburban,75,41,239,0
123,Female,57,Moderate,Urban,105,102,252,1
124,Male,29,Active,Urban,183,132,506,2
125,Female,26,Active,Suburban,174,88,617,2
126,Female,47,Moderate,Suburban,116,98,335,1
127,Female,23,Sedentary,Suburban,89,82,330,0
128,Female,42,Active,Urban,176,135,823,2
129,Female,45,Active,Rural,198,131,440,2
130,Female,27,Moderate,Rural,130,127,627,2
131,Female,58,Sedentary,Urban,87,57,281,0
132,Male,45,Sedentary,Urban,89,44,444,0
133,Male,46,Moderate,Suburban,114,89,412,1
134,Male,53,Active,Suburban,197,193,682,2
135,Male,28,Moderate,Rural,128,121,481,1
136,Male,38,Moderate,Rural,107,63,490,1
137,Male,55,Moderate,Rural,102,76,481,1
138,Female,43,Active,Suburban,154,95,316,1
139,Male,35,Active,Suburban,173,124,583,2
140,Male,21,Moderate,Urban,147,122,611,2
141,Male,58,Sedentary,Suburban,91,65,219,0
142,Male,32,Moderate,Rural,134,125,364,1
143,Female,40,Active,Urban,192,112,830,2
144,Female,58,Sedentary,Suburban,72,39,297,0
145,Female,23,Sedentary,Rural,79,67,191,0
146,Female,24,Active,Suburban,159,98,789,2
147,Male,32,Active,Urban,183,103,452,1
148,Female,26,Moderate,Suburban,109,75,518,1
149,Male,47,Active,Rural,163,162,537,2
150,Female,45,Sedentary,Urban,77,45,158,0
151,Male,47,Moderate,Rural,120,79,447,1
152,Male,25,Moderate,Urban,119,109,582,1
153,Female,52,Sedentary,Suburban,85,51,337,0
154,Female,52,Active,Suburban,165,85,595,1
155,Female,43,Moderate,Rural,147,92,581,1
156,Female,47,Sedentary,Suburban,51,35,121,0
157,Female,52,Sedentary,Urban,72,48,178,0
158,Female,55,Sedentary,Suburban,66,42,169,0
159,Female,28,Active,Suburban,163,112,379,1
160,Male,37,Active,Suburban,182,147,900,2
161,Female,48,Active,Suburban,163,125,753,2
162,Male,51,Active,Suburban,187,128,717,2
163,Male,29,Sedentary,Suburban,90,83,346,0
164,Female,45,Moderate,Suburban,112,57,347,0
165,Male,20,Sedentary,Suburban,64,57,239,0
166,Female,59,Moderate,Rural,101,74,270,0
167,Male,22,Moderate,Rural,133,70,564,1
168,Female,30,Moderate,Suburban,107,101,435,1
169,Female,29,Active,Rural,186,160,826,2
170,Female,18,Sedentary,Suburban,75,68,246,0
171,Female,36,Moderate,Suburban,123,110,432,1
172,Female,46,Sedentary,Suburban,50,40,137,0
173,Male,56,Active,Rural,187,113,524,2
174,Female,59,Moderate,Urban,145,140,544,2
175,Female,42,Active,Suburban,179,128,439,2
176,Male,33,Active,Suburban,155,145,735,2
177,Female,34,Sedentary,Urban,67,45,252,0
178,Male,45,Moderate,Rural,119,96,514,1
179,Female,56,Active,Urban,153,152,643,2
180,Male,22,Sedentary,Suburban,62,43,222,0
181,Female,18,Moderate,Urban,137,107,684,2
182,Female,20,Moderate,Suburban,125,73,443,1
183,Male,41,Active,Rural,192,115,694,2
184,Male,46,Active,Rural,159,150,485,2
185,Male,32,Active,Rural,195,191,468,2
186,Male,21,Active,Suburban,191,112,627,2
187,Male,18,Moderate,Rural,114,75,326,1
188,Female,32,Active,Urban,151,87,410,1
189,Female,41,Active,Rural,158,144,459,2
190,Male,48,Active,Suburban,195,98,789,2
191,Male,37,Moderate,Urban,107,53,423,0
192,Male,27,Sedentary,Urban,90,70,312,0
193,Female,28,Sedentary,Urban,70,69,243,0
194,Female,35,Moderate,Urban,127,116,477,1
195,Male,51,Sedentary,Suburban,97,91,197,0
196,Female,45,Moderate,Rural,141,110,701,2
197,Male,55,Active,Urban,173,90,530,1
198,Female,33,Sedentary,Rural,52,36,199,0
199,Male,41,Moderate,Rural,121,70,407,1
200,Male,56,Moderate,Rural,121,63,472,1
201,Female,29,Active,Rural,152,85,322,1
202,Female,59,Moderate,Suburban,117,85,328,1
203,Male,24,Sedentary,Urban,66,56,260,0
204,Male,53,Active,Urban,154,108,616,2
205,Female,34,Moderate,Rural,116,114,444,1
206,Male,21,Active,Urban,190,137,721,2
207,Male,54,Moderate,Rural,138,107,481,1
208,Male,50,Sedentary,Suburban,65,36,147,0
209,Male,36,Sedentary,Urban,53,37,214,0
210,Male,43,Active,Rural,176,157,746,2
211,Male,28,Moderate,Urban,146,103,517,1
212,Female,48,Active,Rural,162,103,572,2
213,Female,18,Active,Urban,150,142,329,1
214,Male,57,Sedentary,Suburban,80,55,330,0
215,Male,53,Active,Urban,152,87,698,2
216,Female,46,Moderate,Suburban,115,85,346,1
217,Male,42,Sedentary,Suburban,70,39,319,0
218,Female,35,Moderate,Rural,112,72,224,0
219,Female,20,Active,Rural,157,93,456,1
220,Male,35,Sedentary,Urban,68,58,166,0
221,Male,24,Moderate,Suburban,141,71,402,1
222,Male,45,Moderate,Rural,124,92,491,1
223,Female,34,Active,Suburban,161,96,534,1
224,Female,42,Moderate,Suburban,128,85,419,1
225,Male,35,Active,Suburban,189,173,440,2
226,Male,57,Active,Urban,164,111,506,2
227,Male,20,Active,Suburban,160,136,332,1
228,Female,42,Active,Suburban,172,140,473,2
229,Male,24,Sedentary,Urban,57,45,120,0
230,Female,27,Moderate,Urban,142,101,689,2
231,Male,36,Moderate,Rural,127,87,413,1
232,Male,32,Sedentary,Suburban,74,52,368,0
233,Female,38,Active,Suburban,191,118,462,2
234,Female,38,Active,Urban,191,164,471,2
235,Female,54,Active,Urban,177,123,768,2
236,Female,45,Active,Rural,176,153,827,2
237,Female,49,Sedentary,Urban,94,90,208,0
238,Female,58,Moderate,Urban,144,86,705,2
239,Male,44,Active,Urban,189,96,506,2
240,Female,40,Active,Urban,173,128,372,1
241,Male,27,Active,Rural,158,95,407,1
242,Male,57,Moderate,Suburban,138,123,471,1
243,Male,58,Moderate,Suburban,128,108,411,1
244,Female,23,Sedentary,Suburban,86,71,407,0
245,Female,41,Moderate,Suburban,128,68,522,1
246,Male,35,Moderate,Suburban,101,53,339,0
247,Male,27,Active,Urban,188,165,885,2
248,Male,32,Moderate,Suburban,122,87,330,1
249,Female,51,Active,Urban,197,195,602,2
250,Male,25,Sedentary,Suburban,96,57,449,0
251,Female,52,Active,Suburban,166,162,355,2
252,Male,44,Sedentary,Urban,56,46,255,0
253,Female,42,Moderate,Suburban,132,101,564,1
254,Female,20,Sedentary,Urban,59,39,168,0
255,Male,38,Active,Rural,164,84,521,1
256,Female,56,Moderate,Rural,142,105,352,1
257,Male,49,Moderate,Rural,114,92,532,1
258,Male,38,Active,Suburban,182,91,823,2
259,Male,26,Moderate,Suburban,141,110,610,2
260,Male,18,Active,Suburban,169,97,715,2
261,Male,21,Sedentary,Suburban,72,64,323,0
262,Female,21,Sedentary,Urban,76,64,181,0
263,Male,43,Moderate,Rural,102,62,314,0
264,Female,51,Active,Urban,180,126,770,2
265,Male,44,Active,Rural,196,121,914,2
266,Male,32,Sedentary,Rural,76,46,167,0
267,Female,49,Active,Urban,163,127,483,2
268,Male,58,Moderate,Urban,145,95,523,1
269,Male,24,Moderate,Urban,112,88,342,1
270,Female,31,Sedentary,Rural,58,45,269,0
271,Female,40,Active,Urban,198,140,765,2
272,Male,18,Moderate,Suburban,112,76,380,1
273,Male,49,Moderate,Urban,127,86,629,1
274,Male,58,Moderate,Rural,141,140,329,1
275,Male,43,Active,Rural,164,158,370,2
276,Male,26,Sedentary,Urban,57,48,176,0
277,Male,33,Sedentary,Urban,55,36,161,0
278,Male,48,Moderate,Rural,140,90,421,1
279,Male,19,Sedentary,Rural,94,79,340,0
280,Male,49,Moderate,Urban,118,67,476,1
281,Female,27,Moderate,Suburban,146,108,424,1
282,Female,42,Active,Suburban,166,89,465,1
283,Male,35,Moderate,Suburban,114,113,279,1
284,Female,51,Moderate,Rural,145,141,395,1
285,Female,46,Active,Suburban,190,171,393,2
286,Male,41,Active,Suburban,150,147,464,2
287,Female,20,Sedentary,Urban,98,96,328,1
288,Female,32,Active,Urban,155,87,552,1
289,Female,20,Moderate,Suburban,137,122,608,2
290,Female,48,Active,Rural,199,151,628,2
291,Female,27,Active,Suburban,177,90,434,1
292,Male,55,Sedentary,Urban,85,60,301,0
293,Male,39,Active,Urban,174,98,410,1
294,Female,31,Moderate,Urban,126,66,403,1
295,Female,26,Moderate,Suburban,116,113,385,1
296,Female,35,Moderate,Rural,117,79,303,1
297,Male,25,Active,Suburban,168,117,474,2
298,Female,55,Active,Urban,173,130,382,2
299,Male,32,Moderate,Urban,122,100,414,1
300,Female,32,Active,Urban,153,90,712,2
301,Female,23,Sedentary,Urban,61,33,189,0
302,Male,29,Sedentary,Suburban,90,85,237,0
303,Male,59,Sedentary,Suburban,57,50,242,0
304,Male,36,Sedentary,Rural,60,56,123,0
305,Female,57,Moderate,Urban,128,80,492,1
306,Female,22,Active,Suburban,198,122,695,2
307,Male,44,Sedentary,Suburban,95,87,430,1
308,Female,27,Moderate,Urban,115,88,527,1
309,Male,31,Sedentary,Suburban,83,75,330,0
310,Male,51,Active,Urban,165,94,707,2
311,Female,32,Sedentary,Rural,67,34,253,0
312,Female,46,Sedentary,Urban,82,81,245,0
313,Female,43,Sedentary,Urban,77,74,316,0
314,Female,44,Sedentary,Suburban,86,54,211,0
315,Female,20,Active,Rural,157,131,402,1
316,Female,20,Moderate,Rural,106,54,308,0
317,Female,52,Sedentary,Suburban,82,80,287,0
318,Male,52,Moderate,Rural,148,142,420,2
319,Male,23,Active,Rural,163,88,665,2
320,Female,31,Active,Urban,167,153,677,2
321,Male,43,Sedentary,Suburban,95,71,395,0
322,Male,20,Moderate,Rural,137,134,646,2
323,Male,50,Sedentary,Rural,95,60,231,0
324,Male,59,Active,Rural,158,131,514,2
325,Female,30,Sedentary,Urban,75,43,156,0
326,Male,46,Sedentary,Urban,93,81,301,0
327,Male,26,Moderate,Suburban,112,58,243,0
328,Female,49,Active,Suburban,158,131,569,2
329,Male,39,Sedentary,Urban,71,67,202,0
330,Male,39,Sedentary,Suburban,72,58,245,0
331,Female,51,Sedentary,Suburban,75,68,210,0
332,Male,27,Moderate,Suburban,127,92,293,1
333,Female,42,Active,Urban,166,145,772,2
334,Female,29,Sedentary,Urban,67,57,265,0
335,Female,20,Sedentary,Rural,75,67,211,0
336,Male,36,Sedentary,Rural,61,51,267,0
337,Male,50,Active,Rural,159,114,447,1
338,Female,43,Moderate,Rural,124,108,320,1
339,Female,30,Moderate,Suburban,146,104,470,1
340,Female,24,Sedentary,Suburban,52,42,180,0
341,Male,51,Sedentary,Urban,52,29,185,0
342,Male,39,Moderate,Suburban,134,80,667,1
343,Female,37,Moderate,Suburban,111,65,287,0
344,Male,40,Moderate,Suburban,132,78,293,1
345,Male,31,Sedentary,Rural,75,54,162,0
346,Female,47,Sedentary,Urban,53,52,138,0
347,Male,40,Moderate,Rural,114,73,489,1
348,Male,36,Moderate,Suburban,104,84,517,1
349,Female,56,Active,Suburban,165,127,481,2
350,Male,58,Sedentary,Urban,54,29,232,0
351,Male,53,Active,Rural,176,163,520,2
352,Male,23,Moderate,Suburban,124,116,584,1
353,Female,40,Sedentary,Urban,98,68,373,0
354,Male,27,Sedentary,Suburban,84,56,328,0
355,Male,52,Active,Suburban,152,146,441,2
356,Male,38,Active,Urban,190,184,547,2
357,Male,49,Active,Urban,155,109,581,2
358,Male,47,Active,Suburban,173,145,722,2
359,Female,50,Sedentary,Urban,59,39,289,0
360,Male,23,Moderate,Suburban,121,62,497,1
361,Female,22,Moderate,Rural,139,87,573,1
362,Male,32,Moderate,Suburban,112,91,290,1
363,Female,42,Active,Urban,171,104,728,2
364,Female,30,Moderate,Rural,121,103,406,1
365,Male,23,Active,Urban,187,110,675,2
366,Female,54,Active,Suburban,154,149,644,2
367,Male,19,Moderate,Urban,111,80,510,1
368,Female,34,Moderate,Suburban,132,101,612,1
369,Male,41,Moderate,Urban,121,77,258,1
370,Male,29,Sedentary,Urban,93,69,207,0
371,Male,31,Active,Suburban,193,164,596,2
372,Male,24,Sedentary,Rural,79,77,364,0
373,Female,43,Moderate,Suburban,145,106,614,2
374,Male,49,Sedentary,Rural,55,51,120,0
375,Male,46,Sedentary,Rural,71,68,262,0
376,Male,56,Moderate,Rural,143,125,363,1
377,Female,26,Moderate,Rural,108,73,423,1
378,Male,31,Active,Suburban,166,99,621,2
379,Female,34,Active,Suburban,191,169,827,2
380,Female,42,Sedentary,Rural,83,76,365,0
381,Male,47,Moderate,Rural,118,110,349,1
382,Female,46,Active,Rural,182,177,869,2
383,Male,46,Active,Rural,151,146,650,2
384,Female,35,Sedentary,Rural,91,51,358,0
385,Male,48,Sedentary,Rural,78,69,185,0
386,Male,36,Sedentary,Urban,84,66,278,0
387,Male,34,Moderate,Rural,103,99,440,1
388,Female,23,Active,Urban,187,109,391,1
389,Female,29,Active,Suburban,195,115,770,2
390,Female,55,Active,Suburban,199,194,428,2
391,Female,20,Sedentary,Rural,82,62,356,0
392,Male,52,Moderate,Suburban,140,115,570,1
393,Male,50,Sedentary,Suburban,93,62,347,0
394,Female,46,Sedentary,Rural,78,44,156,0
395,Female,20,Moderate,Suburban,126,74,511,1
396,Female,22,Moderate,Suburban,115,108,496,1
397,Female,31,Sedentary,Rural,69,59,293,0
398,Male,53,Moderate,Rural,141,135,385,1
399,Male,45,Sedentary,Rural,75,63,246,0
400,Male,58,Active,Urban,156,131,613,2
401,Female,49,Moderate,Rural,135,87,559,1
402,Female,35,Active,Suburban,172,119,478,2
403,Female,59,Moderate,Rural,125,101,557,1
404,Female,57,Sedentary,Urban,98,65,426,1
405,Male,30,Sedentary,Suburban,74,73,337,0
406,Male,19,Sedentary,Urban,64,33,266,0
407,Female,42,Sedentary,Suburban,81,69,178,0
408,Male,37,Sedentary,Rural,73,39,265,0
409,Male,24,Sedentary,Urban,99,94,229,0
410,Male,28,Moderate,Rural,118,61,239,0
411,Male,22,Moderate,Suburban,124,70,268,1
412,Female,46,Active,Rural,172,99,394,1
413,Male,35,Moderate,Rural,115,67,499,1
414,Male,25,Moderate,Suburban,106,57,397,0
415,Male,44,Active,Urban,189,186,458,2
416,Male,59,Active,Suburban,179,113,443,2
417,Female,19,Sedentary,Suburban,93,50,289,0
418,Male,52,Active,Rural,177,163,814,2
419,Male,43,Active,Suburban,170,133,779,2
420,Female,40,Moderate,Urban,120,96,277,1
421,Female,22,Sedentary,Suburban,58,33,245,0
422,Female,33,Active,Suburban,152,118,633,2
423,Female,59,Sedentary,Rural,84,50,335,0
424,Female,28,Sedentary,Urban,97,79,251,0
425,Female,36,Active,Rural,183,115,805,2
426,Male,33,Active,Rural,181,111,717,2
427,Male,49,Active,Urban,170,164,819,2
428,Female,29,Active,Urban,170,112,591,2
429,Male,19,Sedentary,Suburban,68,47,159,0
430,Male,39,Moderate,Urban,119,90,439,1
431,Male,43,Sedentary,Rural,50,44,200,0
432,Male,50,Sedentary,Urban,64,39,222,0
433,Male,41,Sedentary,Urban,77,47,223,0
434,Female,22,Active,Urban,164,128,546,2
435,Male,38,Active,Rural,159,99,336,1
436,Male,35,Moderate,Suburban,103,72,499,1
437,Female,56,Moderate,Suburban,114,62,341,0
438,Male,22,Moderate,Rural,110,98,377,1
439,Male,25,Sedentary,Suburban,89,67,263,0
440,Male,38,Moderate,Suburban,129,109,499,1
441,Male,22,Sedentary,Rural,55,32,135,0
442,Male,30,Active,Rural,168,85,403,1
443,Male,36,Sedentary,Suburban,54,41,206,0
444,Female,46,Active,Urban,178,152,592,2
445,Male,19,Active,Suburban,161,152,460,2
446,Female,54,Moderate,Urban,107,78,345,1
447,Female,43,Active,Rural,183,182,838,2
448,Male,46,Moderate,Urban,143,105,464,1
449,Male,22,Moderate,Urban,138,97,360,1
450,Male,49,Moderate,Urban,135,126,540,1
451,Female,55,Sedentary,Rural,99,78,308,0
452,Female,19,Moderate,Suburban,111,104,411,1
453,Female,22,Moderate,Suburban,104,78,472,1
454,Male,50,Active,Urban,189,128,518,2
455,Female,52,Sedentary,Suburban,94,90,426,1
456,Male,36,Moderate,Rural,145,139,342,1
457,Male,32,Moderate,Rural,144,72,298,1
458,Female,52,Moderate,Rural,149,82,591,1
459,Female,25,Active,Rural,172,98,732,2
460,Male,18,Active,Suburban,174,96,480,1
461,Female,55,Active,Urban,171,126,442,2
462,Female,39,Moderate,Urban,119,86,514,1
463,Male,34,Moderate,Urban,110,83,288,1
464,Female,33,Moderate,Rural,136,116,644,2
465,Female,18,Moderate,Suburban,104,84,508,1
466,Male,20,Moderate,Suburban,135,74,641,1
467,Male,23,Active,Suburban,155,91,452,1
468,Female,20,Moderate,Suburban,147,81,354,1
469,Female,47,Sedentary,Suburban,54,52,233,0
470,Female,28,Moderate,Suburban,138,103,541,1
471,Male,44,Active,Urban,176,167,372,2
472,Female,39,Moderate,Rural,111,63,341,0
473,Male,23,Sedentary,Urban,78,61,194,0
474,Male,55,Moderate,Suburban,142,92,338,1
475,Male,58,Sedentary,Rural,80,49,206,0
476,Male,48,Sedentary,Rural,91,71,229,0
477,Female,23,Active,Rural,188,181,456,2
478,Female,37,Sedentary,Rural,94,65,368,0
479,Female,58,Moderate,Suburban,124,116,479,1
480,Female,28,Sedentary,Suburban,71,48,267,0
481,Female,19,Moderate,Rural,127,74,344,1
482,Male,48,Moderate,Suburban,123,82,412,1
483,Male,55,Moderate,Rural,140,92,351,1
484,Female,43,Moderate,Suburban,127,112,602,1
485,Female,44,Active,Rural,164,120,399,1
486,Female,48,Moderate,Suburban,127,95,264,1
487,Female,41,Active,Urban,191,119,543,2
488,Male,30,Sedentary,Urban,71,36,320,0
489,Female,42,Moderate,Suburban,115,67,435,1
490,Male,54,Sedentary,Suburban,81,61,230,0
491,Male,58,Active,Urban,185,178,687,2
492,Female,42,Moderate,Suburban,118,87,551,1
493,Male,46,Moderate,Rural,108,71,316,0
494,Female,48,Active,Suburban,166,137,349,1
495,Male,56,Sedentary,Suburban,76,58,280,0
496,Male,19,Active,Urban,181,103,676,2
497,Male,29,Sedentary,Urban,95,60,350,0
498,Male,22,Sedentary,Suburban,85,80,289,0
499,Male,44,Sedentary,Rural,61,42,274,0
500,Female,51,Moderate,Suburban,114,76,261,0
501,Male,31,Active,Rural,163,110,689,2
502,Female,24,Moderate,Rural,112,69,316,0
503,Female,54,Active,Suburban,175,153,438,2
504,Male,53,Sedentary,Rural,76,53,317,0
505,Female,27,Moderate,Urban,110,83,266,1
506,Male,46,Moderate,Rural,123,89,407,1
507,Female,33,Moderate,Rural,110,74,367,1
508,Female,55,Sedentary,Rural,58,52,266,0
509,Male,38,Active,Urban,185,182,906,2
510,Female,55,Sedentary,Urban,74,69,306,0
511,Female,58,Moderate,Suburban,109,92,296,1
512,Female,50,Moderate,Rural,100,65,258,0
513,Male,46,Sedentary,Urban,51,27,244,0
514,Female,34,Moderate,Rural,131,114,628,2
515,Female,30,Moderate,Rural,126,98,354,1
516,Male,23,Active,Suburban,173,93,352,1
517,Female,19,Active,Rural,153,85,621,1
518,Male,25,Active,Urban,174,128,443,2
519,Female,49,Active,Suburban,181,121,691,2
520,Female,53,Active,Suburban,158,103,532,1
521,Female,26,Active,Rural,190,110,779,2
522,Male,40,Moderate,Rural,129,101,518,1
523,Female,24,Moderate,Urban,106,65,475,1
524,Male,48,Active,Rural,182,152,479,2
525,Male,38,Sedentary,Urban,69,65,266,0
526,Female,18,Active,Rural,176,107,798,2
527,Female,19,Moderate,Urban,113,70,487,1
528,Male,57,Sedentary,Rural,51,31,222,0
529,Female,28,Sedentary,Suburban,81,44,375,0
530,Female,54,Sedentary,Urban,77,69,246,0
531,Female,35,Moderate,Suburban,139,71,595,1
532,Female,41,Sedentary,Suburban,80,52,229,0
533,Male,36,Moderate,Suburban,120,114,253,1
534,Female,22,Moderate,Suburban,124,68,354,1
535,Male,46,Active,Urban,171,116,629,2
536,Male,56,Moderate,Rural,141,121,362,1
537,Male,19,Sedentary,Suburban,89,81,367,0
538,Male,34,Moderate,Rural,120,85,538,1
539,Male,28,Moderate,Urban,102,88,459,1
540,Male,54,Active,Rural,188,163,588,2
541,Male,30,Active,Urban,194,142,912,2
542,Female,46,Moderate,Rural,108,58,258,0
543,Female,49,Moderate,Urban,106,90,255,1
544,Male,57,Moderate,Urban,143,138,407,1
545,Female,25,Active,Rural,162,124,786,2
546,Female,27,Active,Suburban,189,170,868,2
547,Female,42,Sedentary,Suburban,92,71,376,0
548,Female,28,Sedentary,Rural,62,55,164,0
549,Male,45,Sedentary,Suburban,72,59,186,0
550,Female,50,Sedentary,Suburban,90,83,289,0
551,Male,56,Active,Urban,159,138,702,2
552,Female,43,Active,Rural,161,125,576,2
553,Female,25,Moderate,Suburban,128,74,488,1
554,Male,55,Sedentary,Suburban,66,52,189,0
555,Male,43,Moderate,Suburban,137,73,485,1
556,Male,49,Moderate,Rural,109,63,499,1
557,Female,45,Active,Suburban,166,135,537,2
558,Female,24,Moderate,Suburban,104,54,314,0
559,Female,52,Moderate,Suburban,119,109,411,1
560,Male,19,Active,Urban,164,148,714,2
561,Male,39,Active,Rural,172,94,593,2
562,Male,39,Active,Suburban,193,108,832,2
563,Male,20,Active,Urban,171,122,623,2
564,Male,25,Sedentary,Rural,72,66,208,0
565,Female,21,Sedentary,Urban,59,43,178,0
566,Male,32,Sedentary,Urban,95,50,449,0
567,Male,56,Moderate,Rural,128,72,334,1
568,Female,29,Sedentary,Suburban,93,86,188,0
569,Male,46,Active,Suburban,164,134,466,2
570,Male,26,Sedentary,Urban,55,41,116,0
571,Male,59,Active,Rural,195,164,902,2
572,Male,57,Sedentary,Rural,72,48,186,0
573,Female,37,Sedentary,Suburban,77,66,171,0
574,Male,51,Active,Urban,172,158,533,2
575,Female,43,Active,Suburban,192,101,527,2
576,Male,38,Moderate,Rural,136,68,549,1
577,Female,40,Moderate,Rural,145,133,440,1
578,Female,35,Moderate,Suburban,120,110,334,1
